,number_of_vehicles_involved,number_of_casualties,accident_severity,time_hours,day_of_week_encoded,driving_experience_encoded,educational_level_encoded,age_band_of_casualty_encoded,service_year_of_vehicle_encoded,age_band_of_driver_encoded,casualty_severity_encoded,cause_of_accident_encoded,type_of_vehicle_encoded,area_accident_occured_encoded,vehicle_movement_encoded,road_allignment_encoded,type_of_collision_encoded,pedestrian_movement_encoded,weather_conditions_encoded,types_of_junction_encoded,lanes_or_medians_encoded,road_surface_type_encoded,owner_of_vehicle_encoded,road_surface_conditions_encoded,casualty_class_encoded,light_conditions_encoded,sex_of_casualty_encoded,sex_of_driver_encoded
68,2,1,Slight Injury,13,6,1,4,5,1,0,3,13,5,7,2,0,8,5,2,1,2,3,3,0,3,3,2,1
69,2,1,Slight Injury,13,6,2,1,0,0,1,2,12,9,6,2,5,8,5,2,1,4,0,3,0,0,3,1,1
70,2,1,Slight Injury,18,1,2,1,0,1,0,2,0,4,6,7,7,8,5,2,0,2,5,3,0,1,0,1,1
71,2,1,Slight Injury,18,1,2,4,5,5,1,3,11,0,7,2,3,2,5,2,0,0,0,3,0,3,0,2,1
72,1,4,Slight Injury,11,4,2,4,0,0,1,2,16,0,6,2,6,8,5,2,1,4,2,3,0,0,3,1,1
73,1,4,Slight Injury,11,4,3,1,3,5,1,2,3,0,9,2,5,8,5,2,1,4,0,3,0,0,3,1,1
74,1,4,Slight Injury,11,4,4,4,5,5,1,3,12,1,7,2,5,8,5,2,1,2,0,3,0,3,3,2,1
75,1,4,Slight Injury,11,4,2,4,1,1,1,2,11,9,6,2,5,8,5,2,1,0,0,3,0,0,3,0,1
76,1,1,Serious Injury,15,5,0,1,1,2,2,2,1,4,6,9,7,8,5,2,1,4,0,3,0,2,3,1,1
77,1,1,Slight Injury,15,6,6,5,5,5,2,3,3,17,6,2,5,8,5,2,1,6,0,4,0,3,3,2,2
78,2,1,Slight Injury,20,3,3,4,0,2,1,2,1,17,7,2,6,2,5,2,7,2,2,3,0,0,0,0,1
79,2,1,Slight Injury,20,3,1,2,5,5,3,3,1,0,2,2,5,8,5,2,7,4,0,3,0,3,0,2,1
80,2,1,Serious Injury,18,6,0,4,1,5,1,2,0,4,4,2,5,1,5,2,0,4,0,3,3,0,0,0,1
81,2,1,Serious Injury,18,6,0,4,0,0,1,1,17,5,6,2,5,2,5,2,0,0,0,3,3,0,0,1,1
82,1,2,Slight Injury,15,3,1,0,5,5,2,3,3,8,2,2,5,2,5,2,5,4,0,3,0,3,3,2,1
83,1,2,Slight Injury,15,3,6,5,4,5,2,2,10,4,6,9,5,8,5,2,5,4,0,3,0,2,3,0,1
84,2,3,Slight Injury,23,6,1,1,0,5,2,2,3,14,6,2,5,6,5,2,0,6,0,3,0,0,0,0,2
85,2,3,Slight Injury,23,6,0,4,5,5,2,3,0,7,9,2,5,8,5,2,0,2,0,3,0,3,0,2,1
86,2,3,Slight Injury,23,6,2,5,5,2,1,3,12,7,6,7,5,8,5,2,0,2,0,3,0,3,0,2,1
87,2,1,Serious Injury,7,1,4,4,1,2,0,2,1,4,9,2,5,8,5,2,7,4,0,3,0,0,3,0,2
88,2,1,Serious Injury,7,1,1,4,5,1,0,3,10,17,6,2,5,8,5,2,7,0,0,3,0,3,3,2,1
89,2,1,Fatal injury,15,3,2,4,0,1,1,2,9,0,6,7,5,8,5,2,1,0,0,3,0,0,3,1,1
90,2,1,Fatal injury,15,3,3,4,1,5,1,2,9,5,7,2,5,8,5,2,1,2,2,4,0,0,3,1,1
91,2,1,Slight Injury,15,1,1,1,5,5,0,3,10,7,7,3,5,8,5,2,1,2,0,3,0,3,3,2,1
92,2,1,Slight Injury,15,1,3,1,5,3,0,3,10,5,9,3,5,8,5,2,1,2,0,3,0,3,3,2,1
93,2,1,Slight Injury,9,3,0,4,0,5,2,2,10,0,2,2,5,2,5,2,0,2,0,3,0,0,3,1,1
94,2,1,Slight Injury,9,3,2,4,5,5,2,3,11,8,2,2,5,8,5,2,0,0,0,0,0,3,3,2,1
95,3,1,Slight Injury,17,4,1,4,5,1,0,3,3,5,9,2,5,8,5,2,7,0,4,3,0,3,3,2,1
96,3,1,Slight Injury,17,4,1,4,5,5,0,3,1,10,6,2,6,8,5,2,7,2,3,3,0,3,3,2,1
97,3,1,Slight Injury,17,4,1,4,0,2,1,2,0,3,6,2,6,8,5,2,7,2,3,3,0,0,3,0,1
98,2,1,Slight Injury,20,3,1,4,1,1,0,1,3,0,9,2,5,1,5,2,1,2,0,3,0,0,0,1,2
99,2,1,Slight Injury,20,3,3,4,3,2,2,2,3,0,2,2,5,8,5,2,1,6,0,3,0,0,0,0,1
100,2,2,Slight Injury,21,4,3,4,1,5,0,2,10,7,7,2,5,8,5,2,7,2,2,3,0,0,0,0,1
101,2,2,Slight Injury,21,4,2,1,5,5,1,3,13,17,6,2,5,8,5,2,7,2,0,3,0,3,0,2,1
102,2,1,Slight Injury,19,1,6,5,5,5,0,3,1,3,7,2,5,8,5,2,7,2,0,3,0,3,0,2,1
103,2,1,Slight Injury,19,1,1,5,1,5,0,2,1,9,7,2,5,8,5,2,7,2,0,3,0,0,0,1,1
104,2,1,Slight Injury,16,1,2,1,0,5,0,1,10,9,13,6,5,8,5,2,0,5,0,3,0,0,3,1,1
105,2,1,Slight Injury,16,1,2,4,5,1,2,3,10,7,9,2,9,2,5,2,0,2,2,0,0,3,3,2,1
106,1,1,Slight Injury,15,1,3,4,0,4,1,1,17,7,2,2,5,8,5,2,0,4,0,3,0,0,3,1,2
107,1,4,Serious Injury,23,4,2,4,5,5,3,3,2,7,7,2,5,8,5,2,1,4,0,4,0,3,2,2,1
108,1,4,Serious Injury,23,4,3,4,1,5,3,1,12,9,7,2,5,8,5,2,1,1,0,3,0,0,2,1,1
109,1,4,Serious Injury,23,4,4,1,5,5,3,3,11,5,9,2,5,8,5,2,1,2,0,3,0,3,2,2,1
110,1,4,Serious Injury,23,4,2,1,5,5,3,3,12,7,6,2,5,8,5,2,1,1,0,3,0,3,2,2,1
111,3,1,Slight Injury,20,1,0,1,5,5,2,3,13,9,4,9,5,8,5,2,7,2,0,3,0,3,1,2,1
112,3,1,Slight Injury,20,1,2,1,0,5,1,2,13,7,9,2,5,8,5,2,7,0,0,0,0,0,1,1,2
113,3,1,Slight Injury,20,1,2,1,5,5,1,3,9,4,6,2,5,8,5,2,7,5,0,3,0,3,1,2,1
114,2,1,Slight Injury,17,0,1,1,5,1,0,3,10,7,7,11,5,6,5,2,0,5,0,3,0,3,3,2,1
115,2,1,Slight Injury,17,0,2,1,0,5,1,2,9,7,2,3,5,8,5,2,0,6,0,3,0,0,3,0,1
116,1,1,Slight Injury,18,1,2,5,4,3,1,2,12,7,4,2,5,8,5,2,0,5,2,3,0,1,3,0,2
117,1,1,Slight Injury,17,0,3,4,0,5,0,2,3,8,1,3,5,8,5,2,1,1,0,3,0,0,3,1,1
118,2,3,Slight Injury,1,2,3,4,5,5,4,3,10,0,0,9,5,2,5,2,0,4,0,3,0,3,0,2,0
119,2,3,Slight Injury,1,2,4,1,5,5,0,3,13,7,7,2,5,8,5,2,0,2,0,3,0,3,0,2,2
120,2,3,Slight Injury,1,2,2,1,0,5,0,2,1,5,7,2,5,8,5,2,0,2,0,3,0,0,0,1,1
121,2,3,Slight Injury,1,2,2,1,5,5,0,3,10,10,4,11,9,8,5,2,0,2,2,3,0,3,0,2,1
122,2,1,Slight Injury,18,6,1,1,0,1,1,2,3,0,7,2,5,2,5,4,1,2,0,0,3,0,0,1,1
123,2,1,Slight Injury,18,6,3,1,5,5,0,3,10,8,6,2,5,8,5,4,1,6,0,0,3,3,0,2,1
124,3,1,Slight Injury,15,0,1,1,3,5,0,2,12,5,13,2,5,8,5,2,7,6,0,3,0,0,3,0,1
125,3,1,Slight Injury,15,0,3,4,5,5,1,3,1,9,6,2,5,8,5,2,7,2,0,3,0,3,3,2,1
126,3,1,Slight Injury,15,0,4,4,0,5,0,1,11,7,6,7,5,8,5,2,7,4,0,3,0,0,3,1,1
127,1,1,Serious Injury,12,5,1,4,0,5,0,2,12,5,7,2,5,2,5,2,3,6,0,1,0,1,3,0,1
128,2,1,Slight Injury,8,1,2,1,3,1,3,2,0,8,7,2,5,8,5,2,0,6,0,0,0,0,3,0,2
129,2,1,Slight Injury,8,1,2,1,5,5,2,3,18,7,7,2,5,8,5,2,0,4,0,3,0,3,3,2,1
130,1,1,Slight Injury,17,2,0,1,4,3,1,2,4,5,7,9,5,8,5,2,1,6,4,3,3,2,3,1,1
131,1,3,Slight Injury,0,3,6,1,5,5,0,3,3,12,9,7,5,8,5,2,1,4,0,4,0,3,0,2,1
132,1,3,Slight Injury,0,3,0,4,0,1,0,2,4,0,2,2,5,8,5,2,1,4,0,3,0,0,0,1,1
133,1,3,Slight Injury,0,3,2,5,4,1,0,2,3,0,6,2,5,1,5,2,1,0,0,3,0,1,0,1,1
134,1,1,Slight Injury,15,6,0,1,5,1,1,3,11,14,2,9,5,8,5,2,0,6,0,3,0,3,3,2,1
135,2,1,Slight Injury,18,2,2,4,3,1,3,2,3,7,7,3,5,8,5,4,7,2,0,3,3,0,0,1,1
136,2,1,Slight Injury,18,2,1,4,1,5,0,2,1,5,13,2,5,2,5,4,7,6,0,3,3,0,0,1,1
137,1,1,Serious Injury,5,0,1,4,3,0,1,2,9,5,12,2,3,8,5,2,1,6,0,3,3,0,2,1,1
138,1,1,Slight Injury,12,2,2,4,3,2,0,2,3,3,6,2,6,8,5,2,0,2,2,3,0,0,3,1,2
139,1,1,Slight Injury,22,0,4,4,5,4,1,3,1,14,7,7,3,1,5,2,1,6,0,3,0,3,0,2,1
140,2,1,Serious Injury,6,0,4,2,0,5,1,2,3,9,6,2,5,8,5,4,0,4,0,3,3,0,0,0,1
141,2,1,Serious Injury,6,0,6,4,4,5,1,2,3,0,7,2,5,8,5,4,0,4,0,3,3,1,0,1,1
142,1,2,Serious Injury,17,4,4,4,1,1,3,2,3,9,7,2,5,1,5,2,1,2,0,3,3,2,0,1,1
143,1,2,Serious Injury,17,4,1,4,5,5,3,3,1,5,6,6,5,1,5,2,1,4,0,3,3,3,0,2,1
144,1,4,Slight Injury,4,0,1,4,5,5,0,3,1,0,7,2,5,1,5,4,7,0,0,3,3,3,0,2,2
145,1,4,Slight Injury,4,0,2,4,1,5,0,2,3,5,2,2,5,2,5,4,7,6,0,3,3,0,0,1,1
146,1,4,Slight Injury,4,0,2,1,0,5,0,2,16,5,6,11,5,8,5,4,7,2,0,3,3,0,0,1,1
147,1,4,Slight Injury,4,0,2,5,3,3,0,2,1,8,6,2,5,8,5,4,7,2,0,3,3,0,0,0,2
148,1,1,Slight Injury,15,2,2,4,4,1,0,0,10,7,7,2,7,8,5,2,7,4,0,3,0,0,3,1,1
149,1,1,Slight Injury,8,0,2,4,0,1,3,2,13,0,9,8,5,8,5,4,0,4,0,3,3,0,3,1,1
150,2,2,Slight Injury,0,3,1,3,5,5,0,3,1,0,9,2,5,8,5,2,7,4,0,3,0,3,0,2,1
151,2,2,Slight Injury,0,3,2,4,0,2,1,2,1,4,13,5,5,8,5,2,7,2,0,3,0,0,0,1,1
152,2,2,Slight Injury,0,3,4,4,3,5,1,2,16,1,7,2,5,1,5,2,7,6,0,3,0,0,0,1,1
153,2,1,Slight Injury,0,3,0,4,5,5,0,3,13,0,6,7,3,2,5,5,1,5,0,3,3,3,0,2,1
154,2,1,Slight Injury,0,3,1,1,1,5,0,2,4,5,12,2,5,8,5,5,1,0,2,0,3,0,0,1,1
155,2,2,Slight Injury,15,2,1,1,3,5,4,2,16,4,7,2,3,8,5,0,7,2,0,3,0,0,3,1,0
156,2,2,Slight Injury,15,2,2,1,3,2,1,2,12,4,7,11,8,8,5,0,7,2,5,3,0,0,3,1,1
157,2,2,Slight Injury,15,2,2,4,5,5,1,3,9,0,2,2,5,8,5,0,7,2,0,0,0,3,3,2,1
158,2,1,Slight Injury,16,2,6,5,3,5,3,2,13,17,6,3,6,9,5,4,7,5,0,4,3,0,0,1,1
159,2,1,Slight Injury,16,2,3,4,5,5,3,3,12,0,7,2,6,8,5,4,7,2,0,3,3,3,0,2,1
160,2,2,Slight Injury,1,0,3,4,0,5,3,2,11,10,9,3,5,8,5,2,7,0,0,0,0,0,0,1,1
161,2,2,Slight Injury,1,0,3,4,0,5,1,2,1,9,6,2,5,8,5,2,7,2,0,3,0,1,0,0,1
162,2,3,Slight Injury,19,1,6,4,1,5,2,1,1,7,6,2,5,8,5,2,0,4,0,3,3,0,2,1,1
163,2,3,Slight Injury,19,1,2,4,5,4,1,3,1,0,6,11,5,8,5,2,0,2,0,3,3,3,2,2,1
164,2,3,Slight Injury,19,1,1,4,4,0,1,2,4,0,2,2,5,8,5,2,0,5,0,1,3,0,2,1,1
165,2,1,Slight Injury,19,5,2,1,5,5,0,3,0,10,6,2,5,8,5,2,0,2,0,3,3,3,0,2,1
166,2,1,Slight Injury,19,5,1,4,4,0,0,2,9,10,6,2,6,8,6,2,0,2,3,3,3,2,0,0,1
167,2,1,Slight Injury,17,2,2,2,5,5,2,3,2,0,6,9,6,8,5,4,1,2,0,3,3,3,0,2,1
168,2,1,Slight Injury,17,2,3,4,1,2,0,2,9,7,6,2,5,1,5,4,1,2,0,3,3,0,0,1,1
169,2,1,Slight Injury,21,3,1,4,5,5,1,3,10,8,7,2,5,2,5,2,7,2,0,3,0,3,0,2,1
170,2,1,Slight Injury,21,3,1,1,0,5,1,2,13,5,9,2,5,2,5,2,7,0,0,3,0,1,0,0,2
171,2,2,Slight Injury,14,1,3,2,0,5,2,1,12,0,2,7,5,8,5,2,7,4,0,3,0,0,3,1,1
172,2,2,Slight Injury,14,1,0,1,5,5,2,3,1,0,7,1,5,8,5,2,7,2,0,3,0,3,3,2,1
173,2,2,Slight Injury,14,1,3,4,5,5,0,3,13,5,1,2,5,8,5,2,7,2,0,3,0,3,3,2,2
174,2,1,Slight Injury,17,3,6,5,0,5,1,2,10,17,13,1,5,8,5,2,0,5,0,4,3,0,0,1,1
175,2,1,Slight Injury,17,3,2,4,5,5,2,3,3,7,4,2,6,8,5,2,0,4,0,3,3,3,0,2,1
176,2,1,Slight Injury,21,2,2,0,1,5,0,2,10,0,7,2,5,2,5,4,0,2,0,3,3,0,0,1,1
177,2,1,Slight Injury,21,2,2,4,0,5,0,2,9,0,7,2,5,8,5,4,0,6,0,3,3,2,0,0,1
178,2,1,Slight Injury,7,5,3,4,5,2,0,3,10,0,2,2,5,8,5,2,7,6,0,3,3,3,3,2,1
179,2,1,Slight Injury,7,5,0,4,4,2,1,2,9,0,2,2,5,8,5,2,7,4,0,3,3,0,3,1,1
180,1,1,Slight Injury,10,6,1,4,1,5,1,1,11,5,7,2,5,8,5,3,1,2,0,3,3,0,3,1,1
181,2,3,Slight Injury,13,6,4,4,0,5,1,2,0,7,7,2,5,8,5,4,1,1,0,3,3,1,3,0,1
182,2,3,Slight Injury,13,6,3,4,5,1,1,3,10,8,1,2,5,8,5,4,1,2,0,0,3,3,3,2,1
183,2,3,Slight Injury,13,6,0,4,5,1,1,3,13,14,7,2,5,1,5,4,1,4,0,3,3,3,3,2,1
184,2,1,Slight Injury,11,4,2,0,4,2,0,2,10,7,6,3,5,1,5,2,7,4,4,3,0,0,3,1,1
185,2,1,Slight Injury,11,4,2,4,0,2,0,2,11,8,2,2,5,2,5,2,7,2,0,3,0,0,3,1,1
186,3,1,Slight Injury,16,0,4,1,5,1,4,3,9,14,6,2,5,1,5,2,7,2,0,3,3,3,0,2,0
187,3,1,Slight Injury,16,0,6,5,5,5,1,3,11,5,6,2,7,8,5,2,7,4,0,4,3,3,0,2,1
188,3,1,Slight Injury,16,0,3,4,0,1,2,2,10,0,7,2,5,8,5,2,7,4,0,3,3,0,0,1,2
189,1,1,Serious Injury,1,0,6,4,0,5,1,2,11,17,9,2,5,8,5,2,1,2,0,0,3,1,0,0,1
190,2,1,Serious Injury,20,1,0,4,0,1,0,2,3,0,6,2,6,2,5,4,1,2,0,3,3,0,0,1,1
191,2,1,Serious Injury,20,1,1,4,0,1,0,2,7,0,9,2,5,2,5,4,1,6,0,3,3,0,0,1,1
192,2,3,Slight Injury,17,6,6,5,0,5,0,2,3,16,9,2,5,8,5,8,1,2,4,3,3,1,2,0,1
193,2,3,Slight Injury,17,6,3,4,5,5,0,3,0,17,7,2,5,8,5,8,1,0,0,3,3,3,2,2,2
194,2,3,Slight Injury,17,6,1,4,0,5,0,2,12,14,3,2,5,8,5,8,1,1,0,3,3,0,2,1,1
195,1,1,Slight Injury,17,6,2,4,5,5,2,3,1,0,7,2,5,8,5,4,7,4,0,0,3,3,0,2,1
196,1,1,Serious Injury,21,1,1,4,4,5,0,2,1,0,7,2,5,8,5,4,2,4,0,3,3,0,0,1,1
197,1,1,Slight Injury,15,1,0,4,0,5,0,2,10,0,1,2,6,8,5,2,7,1,0,3,0,0,3,0,1
198,1,1,Slight Injury,18,1,2,4,5,5,4,3,10,8,7,2,5,8,5,4,7,4,0,3,3,3,0,2,0
199,1,1,Slight Injury,8,6,1,4,5,5,2,3,0,5,7,2,5,8,5,2,1,4,0,3,0,3,3,2,1
200,1,1,Slight Injury,15,5,2,1,0,5,4,2,1,5,7,2,5,8,5,2,0,4,0,3,3,0,2,1,0
201,2,1,Slight Injury,18,0,2,0,0,4,0,2,12,0,6,2,5,2,5,4,0,2,5,3,3,1,0,1,2
202,2,1,Slight Injury,18,0,1,4,4,1,0,2,0,5,7,7,6,2,6,4,0,2,4,3,3,2,0,0,1
203,2,1,Slight Injury,19,6,1,4,3,5,0,1,12,5,9,2,5,1,0,4,0,2,0,3,3,2,2,0,1
204,2,1,Slight Injury,19,6,1,4,4,2,0,2,9,5,7,2,5,8,5,4,0,4,0,3,3,0,2,1,1
205,2,1,Serious Injury,9,0,2,4,5,5,1,3,18,5,7,2,5,8,5,2,1,4,0,3,3,3,3,2,2
206,2,1,Serious Injury,9,0,0,4,4,5,0,2,10,0,2,11,5,8,0,2,1,4,0,3,3,2,3,0,1
207,2,1,Slight Injury,14,6,1,4,5,0,0,3,10,0,6,2,5,8,5,2,1,4,1,3,0,3,3,2,1
208,2,1,Slight Injury,14,6,1,2,3,3,2,2,10,0,12,2,5,8,5,2,1,6,5,3,0,0,3,1,1
209,2,1,Slight Injury,14,0,6,5,1,1,1,2,0,10,7,2,5,8,5,2,7,4,0,3,3,1,3,1,1
210,2,1,Slight Injury,14,0,0,4,3,0,1,2,12,0,6,2,5,8,5,2,7,4,0,3,3,1,3,1,1
211,2,1,Slight Injury,22,5,4,4,1,0,4,2,2,10,9,2,3,8,5,2,0,6,0,3,3,1,0,1,0
